Marca,Monto,Unidades
Maxwest,115491.31000000001,85
Lg,2.670286735E7,3802
Ken,9998.0,2
Bgh,552883.9299999999,163
Xiaomi,6.0576330839999996E7,5055
Nextel,10853.65,5
Huawei,2.131447445E7,1545
Panacom,106128.54000000001,108
Asus,34450.0,2
Blu,4530646.9799999995,1352
Go,2036566.83,287
Iphone,1.4582383210000005E7,533
Nokia,1588156.18,614
K10,6434744.970000001,1221
Kanji,154712.9,184
Cx,1599.0,1
Samsung,8.558031238999999E7,8682
Zte,168182.76,42
Htc,17249.989999999998,2
Philco,199929.0,72
Blackberry,132654.94,41
Tcl,1086390.0899999999,260
Hyundai,1151612.1,269
Caterpillar,3314833.8800000004,268
Moto,5.5114844789999984E7,5591
Otros,1.4330470220000004E7,2803
Ulefone,115080.0,7
